State	NO2	O3	SO2	CO	Date
Pennsylvania	10.65076886	0.025322894	3.553270205	0.234712875	2009
Pennsylvania	10.94416341	0.028046566	2.922432534	0.269535266	2010
Pennsylvania	11.24084129	0.024834731	2.140566928	0.233509001	2011
Pennsylvania	11.09095887	0.024557403	2.188892345	0.223761108	2012
Pennsylvania	9.624366077	0.024818984	2.102051393	0.16730272	2013
Pennsylvania	9.274083736	0.026053184	2.252595801	0.189182386	2014
Pennsylvania	6.998712664	0.027680944	1.351246318	0.172588263	2015
Pennsylvania	7.43537009	0.027909099	1.060616157	0.094136527	2016
Rhode Island	5.383758894	0.030741	0.164230561	0.189578492	2011
Rhode Island	6.288251289	0.031481746	0.637986957	0.220758957	2012
Rhode Island	7.559365497	0.029893924	0.676449079	0.22455137	2013
Rhode Island	7.299603	0.029162409	0.621430513	0.227188298	2014
Rhode Island	7.640185122	0.029185164	0.322129639	0.230037753	2015
